track_title,artist,song_link,tempo,energy,danceability,acousticness,valence,loudness
All I Really Want Is You,The Marías,https://open.spotify.com/track/410rGaFDJPwjsr9m9RPCkz,75.96,0.422,0.644,0.912,0.374,-10.286
Paranoia,The Marías,https://open.spotify.com/track/4gtIYSYu8u2ItBqrhCaChL,120.039,0.639,0.688,0.441,0.773,-7.992
Sienna,The Marías,https://open.spotify.com/track/0InIeZW4P6VO7dUGRM4AKH,147.993,0.468,0.685,0.583,0.594,-9.405
GO,BLACKPINK,https://open.spotify.com/track/0mYa3o6tlUN5HRippmKmwH,103.124,0.589,0.611,0.0232,0.203,-9.289
Champion,BLACKPINK,https://open.spotify.com/track/3oraRy91vke1aof4tIrQfr,159.918,0.756,0.661,0.0244,0.327,-7.787
Fxxxboy,BLACKPINK,https://open.spotify.com/track/7m0duH1vdTNxM2g8BLfR0F,95.149,0.34,0.527,0.431,0.283,-10.004
Back To Me,The Marías,https://open.spotify.com/track/4E0P1xs3JNmsNr5c5nFTZJ,143.827,0.488,0.456,0.469,0.244,-8.518
