track_title,artist,song_link,tempo,energy,danceability,acousticness,valence,loudness
Supernatural,NewJeans,https://open.spotify.com/track/5ocSQW5sIUIOFojwXEz9Ki,108.887,0.708,0.699,0.185,0.863,-4.182
BOOMBAYAH,BLACKPINK,https://open.spotify.com/track/13MF2TYuyfITClL1R2ei6e,124.952,0.836,0.661,0.00268,0.396,-3.164
Golden,HUNTR/X,https://open.spotify.com/track/1CPZ5BxNNd0n0nF4Orb9JS,122.715,0.686,0.651,0.0966,0.104,-4.371
JUMP,BLACKPINK,https://open.spotify.com/track/5H1sKFMzDeMtXwND3V6hRY,144.972,0.927,0.706,0.00243,0.523,-5.762
Off The Record,IVE,https://open.spotify.com/track/3G7MgLuWLzUJQflWOCDZit,107.984,0.745,0.767,0.101,0.842,-5.338
Tick-Tack,ILLIT,https://open.spotify.com/track/0znsc67nMhP4X9hjhvoyeP,130.019,0.745,0.867,0.136,0.963,-4.159
SPOT!,ZICO,https://open.spotify.com/track/1SS0WlKhJewviwEDZ6dWj0,108.038,0.782,0.875,0.151,0.906,-3.905
After LIKE,IVE,https://open.spotify.com/track/2gYj9lubBorOPIVWsTXugG,125.014,0.922,0.68,0.103,0.799,-1.215
SHEESH,BABYMONSTER,https://open.spotify.com/track/1njlnn8ZKHI77Pe9szIONR,140.041,0.728,0.774,0.113,0.461,-5.079
FOREVER,BABYMONSTER,https://open.spotify.com/track/6b6KXDbDn0s0Jepxm8a3nr,129.995,0.703,0.835,0.103,0.661,-4.368
Black Mamba,aespa,https://open.spotify.com/track/6Tj9KfzPp7tmgcDdsaPwGE,90.006,0.912,0.612,0.064,0.472,-2.853
UP - KARINA Solo,aespa,https://open.spotify.com/track/5sjnkOfTLCLNfkkchI2re2,98.97,0.781,0.777,0.0137,0.382,-4.479
ジュエリー (Prod. imase),LE SSERAFIM,https://open.spotify.com/track/1PeBPKbOCc370rnLKploBL,119.018,0.863,0.725,0.102,0.691,-3.973
Hold On Tight,aespa,https://open.spotify.com/track/1o844wI52S3TjXGBwvGcc7,119.8,0.816,0.586,0.0911,0.265,-6.331
CHEER UP,TWICE,https://open.spotify.com/track/7lB4rxNVc7vm33ZSZXVRAQ,172.95,0.885,0.551,0.139,0.509,-1.489
Strategy,TWICE,https://open.spotify.com/track/6Q3lFQgpvhA9VApFKLFZtZ,110.006,0.668,0.773,0.216,0.628,-3.96
Ash,LE SSERAFIM,https://open.spotify.com/track/5o4U0weUIAXolji4sEAnjI,111.986,0.87,0.695,0.323,0.33,-5.21
So Cynical (Badum),LE SSERAFIM,https://open.spotify.com/track/1Hw8WhXlRjfUFDMykf92gA,127.039,0.797,0.908,0.056,0.479,-6.445
ATTITUDE,IVE,https://open.spotify.com/track/49oOgXKqm6xTavBtekzVHg,117.986,0.842,0.81,0.0841,0.533,-4.717
HOT SAUCE,BABYMONSTER,https://open.spotify.com/track/3AjfuVk6olyesS7cVfofBE,132.975,0.86,0.951,0.0122,0.811,-4.428
THIS IS FOR,TWICE,https://open.spotify.com/track/3598iBWrS4JhJqP5tHlpVK,127.962,0.742,0.796,0.149,0.919,-5.113
Kawaii (Prod. Gen Hoshino),LE SSERAFIM,https://open.spotify.com/track/0M47xHUyYQvhSnso8GFHSA,127.995,0.907,0.773,0.039,0.609,-4.098
I CAN'T STOP ME,TWICE,https://open.spotify.com/track/37ZtpRBkHcaq6hHy0X98zn,150.084,0.88,0.657,0.121,0.769,-3.672
FANCY,TWICE,https://open.spotify.com/track/2qQpFbqqkLOGySgNK8wBXt,132.018,0.874,0.697,0.0122,0.775,-2.15
Touch,KATSEYE,https://open.spotify.com/track/6aJn7Cst74cj4lNIiPRgav,167.033,0.904,0.739,0.549,0.788,-2.655
Knock Knock,TWICE,https://open.spotify.com/track/3HWOknOVmd44e1jg4g0Sga,129.971,0.968,0.672,0.0243,0.473,-2.636
SET ME FREE,TWICE,https://open.spotify.com/track/4OtVQ2ZxS7yigIjGz5yKg1,113.025,0.831,0.756,0.0966,0.703,-2.536
Talk that Talk,TWICE,https://open.spotify.com/track/0RDqNCRBGrSegk16Avfzuq,119.973,0.907,0.772,0.136,0.783,-2.438
Perfect World,TWICE,https://open.spotify.com/track/0hpYo5x9iNMGz52fRrflbT,134.98,0.877,0.684,0.0477,0.599,-2.322
ONE SPARK,TWICE,https://open.spotify.com/track/7n67LEvk16v6komC8znS,169.005,0.766,0.592,0.0151,0.413,-4.928
Attention,NewJeans,https://open.spotify.com/track/2pIUpMhHL6L9Z5lnKxJJr9,104.988,0.648,0.811,0.236,0.695,-3.684
No-Return (Into the unknown),LE SSERAFIM,https://open.spotify.com/track/6DSGb5CmwHX4pvclq8HUU1,157.976,0.717,0.753,0.0267,0.948,-4.672
"FEARNOT (Between you, me and the lamppost)",LE SSERAFIM,https://open.spotify.com/track/0sNfFxw3pJkVmRsgY781vM,105.976,0.694,0.563,0.11,0.196,-5.221
Flash Forward,LE SSERAFIM,https://open.spotify.com/track/74cpuIw43kA8xPgbQEPdss,114.949,0.879,0.773,0.162,0.839,-3.623
Rich Man,aespa,https://open.spotify.com/track/2lzb0dgTFAfrHfzlZA9Hxw,110.049,0.92,0.732,0.0881,0.673,-2.502
XOXZ,IVE,https://open.spotify.com/track/3L9KMc8ImDXgDYKwdqq01V,98.028,0.787,0.784,0.0323,0.486,-5.23
TT,TWICE,https://open.spotify.com/track/60jFaQV7Z4boGC4ob5B5c6,129.946,0.852,0.708,0.0525,0.396,-4.398
WE GO UP,BABYMONSTER,https://open.spotify.com/track/49DTiFx70EuJLV7hDsCo6z,167.955,0.718,0.678,0.012,0.491,-4.317
SPAGHETTI,LE SSERAFIM,https://open.spotify.com/track/2N9miXnewVmUrgl6JSK1FI,111.5,0.819,0.9,0.0813,0.872,-4.641
Pearlies (My oyster is the world),LE SSERAFIM,https://open.spotify.com/track/2CfVDYfw0B4WUHaWxyjsU3,110.002,0.788,0.715,0.129,0.874,-5.353
NOT CUTE ANYMORE,ILLIT,https://open.spotify.com/track/1k0JAiH11gHL9dc5dfQjQr,98.986,0.736,0.94,0.243,0.949,-5.978
New Jeans,NewJeans,https://open.spotify.com/track/6rdkCkjk6D12xRpdMXy0I2,134.014,0.721,0.807,0.51,0.532,-6.211
Midas Touch,KISS OF LIFE,https://open.spotify.com/track/0vaxYDAuAO1nPolC6bQp7V,118.969,0.9,0.796,0.0513,0.854,-3.049
MAKE ME GO,TWICE,https://open.spotify.com/track/6caS9LrdquWAfGeAmjqt1t,111.517,0.633,0.818,0.00539,0.814,-3.145
Feel Special,TWICE,https://open.spotify.com/track/3Hz3tTQwOdM6XkA0ALB2G9,128.981,0.959,0.708,0.0296,0.644,-1.338
Choices,LE SSERAFIM,https://open.spotify.com/track/0THn1agoZT9wJXkITUz6dJ,98.546,0.837,0.449,0.0254,0.722,-4.571
