track_title,artist,song_link,tempo,energy,danceability,acousticness,valence,loudness,rating,comparisons
"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)",Metro Boomin,https://open.spotify.com/track/5rurggqwwudn9clMdcchxT,140.133,0.537,0.636,0.481,0.199,-7.902,1016.07,1
Lady Of Namek,Tory Lanez,https://open.spotify.com/track/6ieWL5CLN9WdC875guWtMe,134.985,0.659,0.676,0.194,0.595,-5.123,1030.62,2
Make You Feel My Love,Adele,https://open.spotify.com/track/273QnyCvJB65rScHJ1nPZb,65.18,0.172,0.317,0.907,0.0963,-10.636,969.41,2
Lost,Frank Ocean,https://open.spotify.com/track/3GZD6HmiNUhxXYf8Gch723,123.061,0.603,0.913,0.0272,0.497,-4.892,982.66,3
Iris,The Goo Goo Dolls,https://open.spotify.com/track/6Qyc6fS4DsZjB2mRW9DsQs,155.925,0.715,0.315,0.00125,0.497,-8.072,1016.7,1
"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)",Metro Boomin,https://open.spotify.com/track/39MK3d3fonIP8Mz9oHCTBB,145.819,0.5,0.591,0.22,0.201,-6.206,1030.55,4
Yellow,Coldplay,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg,173.372,0.661,0.429,0.00239,0.285,-7.227,1016.73,1
3 Nights,Dominic Fike,https://open.spotify.com/track/0uI7yAKUf52Cn7y3sYyjiX,151.891,0.518,0.815,0.223,0.877,-6.594,983.96,1
Easy On Me,Adele,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds,141.981,0.366,0.604,0.578,0.13,-7.519,969.4,2
Heather,Conan Gray,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA,102.078,0.425,0.357,0.584,0.27,-7.301,981.02,8
TORE UP,Don Toliver,https://open.spotify.com/track/1jKXjxMWlq4BhH6f9GtZbu,154.994,0.819,0.534,0.0012,0.0806,-4.329,984.67,2
"Darling, I (feat. Teezo Touchdown)","Tyler, The Creator",https://open.spotify.com/track/0VaeksJaXy5R1nvcTMh3Xk,97.571,0.818,0.373,0.36,0.361,-3.19,1016.03,1
Never Ending Song,Conan Gray,https://open.spotify.com/track/5BI0zQZciyoQfJxsu8CIn9,141.91,0.777,0.575,0.00544,0.575,-6.602,1016.67,1
Wish You Were Sober,Conan Gray,https://open.spotify.com/track/0kn2gu8Pd03DiYHzRvX2Xk,91.071,0.728,0.701,0.0178,0.696,-5.226,983.9,1
Romantic Homicide,d4vd,https://open.spotify.com/track/1xK59OXxi2TAAAbmZK0kBL,132.052,0.544,0.571,0.453,0.216,-10.613,1016.65,1
POWER,G-DRAGON,https://open.spotify.com/track/4XsJiRJQAK8TWcZCn0Dxlh,179.749,0.857,0.607,0.164,0.732,-3.287,983.88,1
The Hills,The Weeknd,https://open.spotify.com/track/7fBv7CLKzipRk6EC6TWHOB,113.003,0.564,0.585,0.0671,0.137,-7.063,1016.62,1
(They Long To Be) Close To You,Carpenters,https://open.spotify.com/track/50q2aUjWoTn6CJIfSPRJQA,89.327,0.244,0.532,0.707,0.238,-14.652,981.97,7
BUTTERFLY EFFECT,Travis Scott,https://open.spotify.com/track/2cYqizR4lgvp4Qu6IQ3qGN,140.958,0.628,0.763,0.0531,0.193,-5.85,982.66,3
Circles,Post Malone,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,120.042,0.763,0.695,0.189,0.551,-3.497,1016.7,1
I Feel It Coming,The Weeknd,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt,92.99,0.819,0.773,0.426,0.585,-5.946,1016.73,1
See You Again (feat. Kali Uchis),"Tyler, The Creator",https://open.spotify.com/track/7KA4W4McWYRpgf0fWsJZWB,78.558,0.559,0.558,0.371,0.62,-9.222,983.96,1
luther (with sza),Kendrick Lamar,https://open.spotify.com/track/45J4avUb9Ni0bnETYaYFVJ,138.008,0.575,0.707,0.251,0.576,-7.546,1016.7,1
Die With A Smile,Lady Gaga,https://open.spotify.com/track/2plbrEY59IikOBgBGLjaoe,157.969,0.592,0.521,0.308,0.535,-7.777,1031.21,2
LUNCH,Billie Eilish,https://open.spotify.com/track/629DixmZGHc7ILtEntuiWE,124.987,0.4,0.893,0.0452,0.945,-7.981,969.43,2
THE DINER,Billie Eilish,https://open.spotify.com/track/1LLUoftvmTjVNBHZoQyveF,125.017,0.386,0.857,0.243,0.661,-9.761,983.93,1
Why Can't You,Bryant Barnes,https://open.spotify.com/track/2fwsmT1AbClEwHbujP4ZMr,166.081,0.435,0.559,0.598,0.462,-8.322,1016.67,1
777,Joji,https://open.spotify.com/track/4tR1B9oWDnnFPvIrkqgaV2,179.812,0.604,0.562,0.265,0.167,-9.939,1031.17,2
What Are You Waiting For,d4vd,https://open.spotify.com/track/10bdqV0CgtHjizrW4rfqAH,165.995,0.91,0.386,0.00226,0.523,-4.35,1001.43,2
Sugar On My Tongue,"Tyler, The Creator",https://open.spotify.com/track/6xV7Be6XEvkSnighmh2Tzj,126.073,0.501,0.703,0.0327,0.463,-7.037,983.3,1
Hold It Together,The Marías,https://open.spotify.com/track/6gJ2H930mAD1zRqmoFiE4W,82.014,0.494,0.802,0.428,0.518,-10.099,1015.3,1
